	User	Date Created	Number of Likes	Source of Tweet	Tweet	Location
0	wakafey1	2022-03-22 23:51:05+00:00	0	Twitter for Android	"While we are all about toxic workplaces and #horriblebosses 
Once trumpet sound on judgement day, e get some kind bosses or oga wey I go like tear beta slap!"	Lagos
1	Pearlminajj	2022-03-22 23:50:18+00:00	2	Twitter for iPhone	@FshawKingFisher We should normalize calling the names of these places we’ve worked/ the toxic bosses name if you get mind shaa, so that people going there will shine their eyes!! Omoh! People are going through hell...... #Horriblebosses	Nigeria
2	justkeny	2022-03-22 23:48:08+00:00	0	Twitter for Android	#HorribleBosses ... when is the next episode? This is just a brutal reminder that money stops nonsense! Let that sink in! Have a steady alternate income source and watch your boss sweat! https://t.co/AKdOxSfqQN	ÜT: 6.514058,3.362546
3	The_Rad_Zone	2022-03-22 23:39:32+00:00	0	Twitter for Android	@VinceMcMahon walking into #HorribleBosses like https://t.co/D5wSYBNTA5	Free Bird
4	sanmikul21	2022-03-22 23:39:20+00:00	1	Twitter for iPhone	#HorribleBosses Some employers all on the sake of the bad economy and obviously no job will take advantage and employ one person to practically do the job 4/5 persons with peanut change then act like they are doing the fellow a favour,	
5	particular6	2022-03-22 23:37:30+00:00	2	Twitter for iPhone	This is bad !!!!! #HorribleBosses https://t.co/sZc3QJe0Uc	Michigan, USA
6	The_Rad_Zone	2022-03-22 23:36:44+00:00	0	Twitter for Android	#HorribleBosses is not about @elonmusk.	Free Bird
7	brownishbrown	2022-03-22 23:36:32+00:00	1	Twitter for Android	Visit https://t.co/UL4zNJ4Ctz for more Nigerian authored books #NaijaBooks #HorribleBosses https://t.co/i8eASahE5I	Lagos, Nigeria
8	ownMyShame	2022-03-22 23:24:48+00:00	1	Twitter for Android	"#horribleboss 
#horriblebosses spaces was suppose to continue today ,David and his cohorts ruined the possibility with their silly tantrums. 
If attention isn't  going to David, he throws tantrums like a baby.
His messiah complex is loud. 
I never see."	
9	larrycole727	2022-03-22 23:23:24+00:00	0	Twitter for Android	@sjikeme Omo... U miss oo. #horriblebosses . Check your dm	Ontario, Canada
